id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
89334,171764,2,1,9999,,steak,151
89335,171765,1,4,9999,,oz,113
89336,171765,2,1,9999,,roast,644
89337,171766,1,4,9999,,oz,113
89338,171766,2,1,9999,,steak,268
89339,171767,1,4,9999,,oz,113
89340,171767,2,1,9999,,steak,170
89341,171768,1,4,9999,,oz,113
89342,171768,2,1,9999,,steak,168
89343,171769,1,4,9999,,oz,113
89344,171769,2,1,9999,,steak,172
89345,171770,1,3,9999,,oz,85
89346,171771,1,3,9999,,oz,85
89347,171772,1,3,9999,,oz,85
89348,171773,1,3,9999,,oz,85
89349,171774,1,4,9999,,oz,113
89350,171774,2,1,9999,,steak,304
89351,171775,1,4,9999,,oz,113
89352,171775,2,1,9999,,steak,302
89353,171776,1,4,9999,,oz,113
89354,171777,1,4,9999,,oz,113
89355,171778,1,3,9999,,oz,85
89356,171779,1,4,9999,,oz,113
89357,171780,1,3,9999,,oz,85
89358,171780,2,1,9999,,lb,453.6
89359,171781,1,3,9999,,oz,85
89360,171782,1,3,9999,,oz,85
89361,171782,2,1,9999,,lb,453.6
89362,171783,1,3,9999,,oz,85
89363,171783,2,1,9999,,lb,453.6
89364,171784,1,3,9999,,oz,85
89365,171784,2,1,9999,,lb,453.6
89366,171786,1,3,9999,,oz,85
89367,171786,2,1,9999,,steak,297
89368,171787,1,3,9999,,oz,85
89369,171787,2,1,9999,,lb,453.6
89370,171788,1,3,9999,,oz,85
89371,171788,2,1,9999,,lb,453.6
89372,171789,1,3,9999,,oz,85
89373,171789,2,1,9999,,steak,287
89374,171790,1,4,9999,,oz,113
89375,171791,1,3,9999,,oz,85
89376,171792,1,3,9999,,oz,85
89377,171793,1,3,9999,,oz,85
89378,171794,1,3,9999,,oz,85
89379,171794,2,1,9999,,portion ( yield from 1/2 lb raw meat ),154
89380,171795,1,3,9999,,oz,85
89381,171796,1,4,9999,,oz,113
89382,171797,1,3,9999,,oz,85
89383,171798,1,3,9999,,oz,85
89384,171799,1,3,9999,,oz,85
89385,171800,1,3,9999,,oz,85
89386,171801,1,3,9999,,oz,85
89387,171802,1,4,9999,,oz,113
89388,171802,2,1,9999,,lb,453.6
89389,171803,1,4,9999,,oz,113
89390,171804,1,4,9999,,oz,113
89391,171804,2,1,9999,,lb,453.6
89392,171805,1,3,9999,,oz,85
89393,171805,2,1,9999,,lb,453.6
89394,171806,1,3,9999,,oz,85
89395,171806,2,1,9999,,lb,453.6
89396,171807,1,3,9999,,oz,85
89397,171807,2,1,9999,,lb,453.6
89398,171808,1,3,9999,,oz,85
89399,171808,2,1,9999,,lb,453.6
89400,171809,1,3,9999,,oz,85
89401,171809,2,1,9999,,lb,453.6
89402,171810,1,4,9999,,oz,113
89403,171810,2,1,9999,,lb,453.6
89404,171811,1,3,9999,,oz,85
89405,171811,2,1,9999,,lb,453.6
89406,171812,1,4,9999,,oz,113
89407,171812,2,1,9999,,lb,453.6
89408,171813,1,3,9999,,oz,85
89409,171813,2,1,9999,,lb,453.6
89410,171814,1,4,9999,,oz,113
89411,171814,2,1,9999,,lb,453.6
89412,171815,1,3,9999,,oz,85
89413,171815,2,1,9999,,lb,453.6
89414,171816,1,4,9999,,oz,113
89415,171816,2,1,9999,,lb,453.6
89416,171817,1,3,9999,,oz,85
89417,171817,2,1,9999,,lb,453.6
89418,171818,1,3,9999,,oz,85
89419,171818,2,1,9999,,lb,453.6
